name,description,name,description,latitude,longitude
Mississauga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn200.html"">ACP Community Profile</a>]]>",Mississauga,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn200.html"">ACP Community Profile</a>]]>",46.211,-83.005
Mississauga&apos;s of Scugog Island First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn140.html"">ACP Community Profile</a>]]>",Mississauga&apos;s of Scugog Island First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn140.html"">ACP Community Profile</a>]]>",44.188,-78.883
Mississaugas of the Credit,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn120.html"">ACP Community Profile</a>]]>",Mississaugas of the Credit,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn120.html"">ACP Community Profile</a>]]>",42.999,-80.097
Mohawks of Akwesasne,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn159.html"">ACP Community Profile</a>]]>",Mohawks of Akwesasne,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn159.html"">ACP Community Profile</a>]]>",45.006,-74.716
Mohawks of the Bay of Quinte,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn164.html"">ACP Community Profile</a>]]>",Mohawks of the Bay of Quinte,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn164.html"">ACP Community Profile</a>]]>",44.187,-77.133
Moose Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn144.html"">ACP Community Profile</a>]]>",Moose Cree First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn144.html"">ACP Community Profile</a>]]>",51.264,-80.597
Moose Deer Point,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn135.html"">ACP Community Profile</a>]]>",Moose Deer Point,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn135.html"">ACP Community Profile</a>]]>",45.078,-80.004
Moravian of the Thames,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn167.html"">ACP Community Profile</a>]]>",Moravian of the Thames,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn167.html"">ACP Community Profile</a>]]>",42.566,-81.881
Munsee-Delaware Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn168.html"">ACP Community Profile</a>]]>",Munsee-Delaware Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn168.html"">ACP Community Profile</a>]]>",42.789,-81.473
Muskrat Dam Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn213.html"">ACP Community Profile</a>]]>",Muskrat Dam Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn213.html"">ACP Community Profile</a>]]>",53.362,-91.847
Naicatchewenin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn128.html"">ACP Community Profile</a>]]>",Naicatchewenin,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn128.html"">ACP Community Profile</a>]]>",48.859,-93.579
Naotkamegwanning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn158.html"">ACP Community Profile</a>]]>",Naotkamegwanning,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn158.html"">ACP Community Profile</a>]]>",49.404,-93.893
Neskantaga First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn239.html"">ACP Community Profile</a>]]>",Neskantaga First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn239.html"">ACP Community Profile</a>]]>",52.2074,-87.9017
Nibinamik First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn241.html"">ACP Community Profile</a>]]>",Nibinamik First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn241.html"">ACP Community Profile</a>]]>",52.7969,-88.4609
