name,description,latitude,longitude
Samahquam,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn567.html"">ACP Community Profile</a>]]>",49.991,-122.457
Saulteau First Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn542.html"">ACP Community Profile</a>]]>",55.843,-121.641
Scowlitz,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn568.html"">ACP Community Profile</a>]]>",49.245,-121.995
Seabird Island,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn581.html"">ACP Community Profile</a>]]>",49.273,-121.721
Sechelt,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn551.html"">ACP Community Profile</a>]]>",49.479,-123.801
Semiahmoo,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn569.html"">ACP Community Profile</a>]]>",49.013,-122.767
Seton Lake,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn595.html"">ACP Community Profile</a>]]>",50.732,-122.206
Shackan,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn698.html"">ACP Community Profile</a>]]>",50.286,-121.191
Shuswap,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn605.html"">ACP Community Profile</a>]]>",50.529,-116.019
Shxw&apos;ow&apos;hamel First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn587.html"">ACP Community Profile</a>]]>",49.341,-121.604
Shxwh:y Village,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn570.html"">ACP Community Profile</a>]]>",49.171,-121.999
Simpcw First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn691.html"">ACP Community Profile</a>]]>",51.288,-120.158
Siska,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn706.html"">ACP Community Profile</a>]]>",50.137,-121.572
Skatin Nations,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn562.html"">ACP Community Profile</a>]]>",49.942,-122.409
Skawahlook First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn582.html"">ACP Community Profile</a>]]>",49.356,-121.607
Skeetchestn,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn687.html"">ACP Community Profile</a>]]>",50.822,-120.965
Skidegate,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn670.html"">ACP Community Profile</a>]]>",53.263,-131.997
Skin Tyee,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn729.html"">ACP Community Profile</a>]]>",53.999,-125.879
Skowkale,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn571.html"">ACP Community Profile</a>]]>",49.137,-121.941
Skuppah,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn707.html"">ACP Community Profile</a>]]>",50.188,-121.578
Skwah,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn573.html"">ACP Community Profile</a>]]>",49.176,-121.979
Sliammon,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn554.html"">ACP Community Profile</a>]]>",49.912,-124.608
Snuneymuxw First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn648.html"">ACP Community Profile</a>]]>",49.147,-123.928
Soda Creek,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn716.html"">ACP Community Profile</a>]]>",52.259,-122.096
Songhees First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn656.html"">ACP Community Profile</a>]]>",48.445,-123.417
Soowahlie,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn572.html"">ACP Community Profile</a>]]>",49.085,-121.956
Spallumcheen,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn600.html"">ACP Community Profile</a>]]>",50.549,-119.135
Spuzzum,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn708.html"">ACP Community Profile</a>]]>",49.661,-121.414
Squamish,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn555.html"">ACP Community Profile</a>]]>",49.315,-123.097
Squiala First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn574.html"">ACP Community Profile</a>]]>",49.156,-121.976
St. Mary&apos;s,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn602.html"">ACP Community Profile</a>]]>",49.637,-115.725
Stellat&apos;en First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn613.html"">ACP Community Profile</a>]]>",54.051,-124.907
Stone,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn717.html"">ACP Community Profile</a>]]>",51.931,-123.145
Sumas First Nation,"<![CDATA[-<a href=""http://www.aboriginalcanada.gc.ca/acp/community/site.nsf/en/fn578.html"">ACP Community Profile</a>]]>",49.052,-122.194
